"run","random_seed","tick","ID","ChosenMode"
1,1390104466,1.0,14,"Intentional0"
1,1390104466,1.0,7,"Intentional0"
1,1390104466,1.0,2,"Intentional0"
1,1390104466,1.0,9,"IntentionalAll"
1,1390104466,1.0,10,"Intentional0"
1,1390104466,1.0,11,"Intentional0"
1,1390104466,1.0,8,"Intentional0"
1,1390104466,1.0,5,"IntentionalAll"
1,1390104466,1.0,3,"Intentional0"
1,1390104466,1.0,15,"Intentional0"
1,1390104466,1.0,4,"IntentionalAll"
1,1390104466,1.0,13,"Intentional0"
1,1390104466,1.0,6,"IntentionalAll"
1,1390104466,1.0,12,"IntentionalAll"
1,1390104466,1.0,1,"IntentionalAll"
